Model has been successfully loaded from models/lrw_resnet18_mstcn_adamw_s3.pth.tar
----------
Epoch 0/79
Current learning rate: 0.0003
[ 4202/10493 (40%)]	Loss: 2.2323	Acc:0.5212	Cost time:0.176 (0.178)s	Data time:0.022 (0.022)	Instances per second: 11.21
[ 4302/10493 (41%)]	Loss: 2.2066	Acc:0.5274	Cost time:0.176 (0.178)s	Data time:0.022 (0.022)	Instances per second: 11.21
[ 4402/10493 (42%)]	Loss: 2.1816	Acc:0.5325	Cost time:0.175 (0.178)s	Data time:0.022 (0.022)	Instances per second: 11.22
[ 4502/10493 (43%)]	Loss: 2.1606	Acc:0.5374	Cost time:0.176 (0.178)s	Data time:0.022 (0.022)	Instances per second: 11.22
[ 4602/10493 (44%)]	Loss: 2.1449	Acc:0.5412	Cost time:0.176 (0.178)s	Data time:0.022 (0.022)	Instances per second: 11.22
[ 4702/10493 (45%)]	Loss: 2.1233	Acc:0.5465	Cost time:0.175 (0.178)s	Data time:0.022 (0.022)	Instances per second: 11.23
[ 4802/10493 (46%)]	Loss: 2.1048	Acc:0.5511	Cost time:0.176 (0.178)s	Data time:0.022 (0.022)	Instances per second: 11.23
[ 4902/10493 (47%)]	Loss: 2.0862	Acc:0.5553	Cost time:0.175 (0.178)s	Data time:0.022 (0.022)	Instances per second: 11.23
[ 5002/10493 (48%)]	Loss: 2.0742	Acc:0.5580	Cost time:0.176 (0.178)s	Data time:0.022 (0.022)	Instances per second: 11.23
[ 5102/10493 (49%)]	Loss: 2.0536	Acc:0.5629	Cost time:0.176 (0.178)s	Data time:0.022 (0.022)	Instances per second: 11.24
[ 5202/10493 (50%)]	Loss: 2.0384	Acc:0.5669	Cost time:0.176 (0.178)s	Data time:0.022 (0.022)	Instances per second: 11.24
[ 5302/10493 (51%)]	Loss: 2.0230	Acc:0.5708	Cost time:0.176 (0.178)s	Data time:0.022 (0.022)	Instances per second: 11.24
[ 5402/10493 (51%)]	Loss: 2.0109	Acc:0.5745	Cost time:0.176 (0.178)s	Data time:0.022 (0.022)	Instances per second: 11.24
[ 5502/10493 (52%)]	Loss: 1.9969	Acc:0.5779	Cost time:0.176 (0.178)s	Data time:0.022 (0.022)	Instances per second: 11.25
[ 5602/10493 (53%)]	Loss: 1.9803	Acc:0.5821	Cost time:0.175 (0.178)s	Data time:0.022 (0.022)	Instances per second: 11.25
[ 5702/10493 (54%)]	Loss: 1.9691	Acc:0.5843	Cost time:0.176 (0.178)s	Data time:0.022 (0.022)	Instances per second: 11.25
[ 5802/10493 (55%)]	Loss: 1.9516	Acc:0.5880	Cost time:0.176 (0.178)s	Data time:0.022 (0.022)	Instances per second: 11.25
[ 5902/10493 (56%)]	Loss: 1.9396	Acc:0.5917	Cost time:0.176 (0.178)s	Data time:0.022 (0.022)	Instances per second: 11.25
[ 6002/10493 (57%)]	Loss: 1.9216	Acc:0.5956	Cost time:0.175 (0.178)s	Data time:0.022 (0.022)	Instances per second: 11.26
